Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
NHE,ASX:NHE,Noble Helium Limited (ASX:NHE),https://www.listcorp.com/asx/nhe/noble-helium-limited,27363600,0.05,0,0,Energy
MAT,ASX:MAT,Matsa Resources Limited (ASX:MAT),https://www.listcorp.com/asx/mat/matsa-resources-limited,27303700,0.043,0,0,Materials
ECP,ASX:ECP,ECP Emerging Growth Limited (ASX:ECP),https://www.listcorp.com/asx/ecp/ecp-emerging-growth-limited,27272800,1.46,0,0,Financials
SGQ,ASX:SGQ,St George Mining Limited (ASX:SGQ),https://www.listcorp.com/asx/sgq/st-george-mining-limited,27213500,0.025,0,0,Materials
FRM,ASX:FRM,Farm Pride Foods Ltd (ASX:FRM),https://www.listcorp.com/asx/frm/farm-pride-foods-ltd,27187000,0.125,0,0,Consumer Staples
SRT,ASX:SRT,Strata Investment Holdings Plc (ASX:SRT),https://www.listcorp.com/asx/srt/strata-investment-holdings-plc,27107800,0.16,0,0,Materials
GBE,ASX:GBE,Globe Metals & Mining Limited (ASX:GBE),https://www.listcorp.com/asx/gbe/globe-metals-and-mining-limited,27091500,0.039,0,0,Materials
VR1,ASX:VR1,Vection Technologies Ltd (ASX:VR1),https://www.listcorp.com/asx/vr1/vection-technologies,27009600,0.02,0,0,Information Technology
BEZ,ASX:BEZ,Besra Gold Inc (ASX:BEZ),https://www.listcorp.com/asx/bez/besra-gold,27006800,0.065,0,0,Materials
G50,ASX:G50,G50 Corp Limited (ASX:G50),https://www.listcorp.com/asx/g50/g50-corp-limited,26964100,0.175,0,0,Materials
AXN,ASX:AXN,Alliance Nickel Limited (ASX:AXN),https://www.listcorp.com/asx/axn/alliance-nickel-limited,26856100,0.037,0,0,Materials
MKR,ASX:MKR,Manuka Resources Limited (ASX:MKR),https://www.listcorp.com/asx/mkr/manuka-resources-limited,26755300,0.033,0,0,Materials
NCC,ASX:NCC,NAOS Emerging Opportunities Company Limited (ASX:NCC),https://www.listcorp.com/asx/ncc/naos-emerging-opportunities-company-limited,26567900,0.36,0,0,Financials
CDO,ASX:CDO,Cadence Opportunities Fund Limited (ASX:CDO),https://www.listcorp.com/asx/cdo/cadence-opportunities-fund-limited,26487200,1.67,0,0,Financials
ODA,ASX:ODA,Orcoda Limited (ASX:ODA),https://www.listcorp.com/asx/oda/orcoda-limited,26451800,0.155,0,0,Information Technology
TMG,ASX:TMG,Trigg Minerals Limited (ASX:TMG),https://www.listcorp.com/asx/tmg/trigg-minerals-limited,26349900,0.041,0,0,Materials
TNC,ASX:TNC,True North Copper Limited (ASX:TNC),https://www.listcorp.com/asx/tnc/true-north-copper-limited,26264700,0.03,0,0,Materials
AAM,ASX:AAM,AuMEGA Metals Ltd (ASX:AAM),https://www.listcorp.com/asx/aam/aumega-metals-ltd,26150500,0.045,0,0,Materials
