Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0277.HK,TERN PROPERTIES,Real Estate,Real Estate Services,2022,-0.2,9.835802659446824,-0.0194200874138386,1.0401876332372382,0.02,-18.877272605896,0.0179819933274408,0.3838481364358254,0.0052973754253443,1046680553.0664368,2836393000.0,3.775454521179199
0280.HK,KING FOOK HOLD,Consumer Cyclical,Luxury Goods,2022,0.0659,0.7781675461984702,0.0695596371083578,1.2198743510539984,0.02,4.952951519550792,0.1333112472315148,0.4194463091308997,0.0612746027035787,296797691.66316986,863288000.0,0.3263995051383972
0285.HK,BYD ELECTRONIC,Technology,Electronic Components,2022,0.82,11.37718376366036,0.0325930070324661,2.2232970389118125,0.1211,29.873510686362664,0.0513950210488323,2.153105660564301,0.0049436080137941,55195012172.856445,56994373000.0,24.496278762817383
0288.HK,WH GROUP,Consumer Defensive,Packaged Foods,2022,0.1068,0.7482346451077186,0.0690002518257365,1.9069343065693432,0.19,37.14832250545087,0.196424074540418,5.302401953081157,0.0478898129778921,50903058749.5791,19855000000.0,3.967440843582153
0287.HK,WINFAIR INV,Real Estate,Real Estate Services,2022,0.34,29.785766325,0.0110958695115152,1.0200155644308406,0.1399999999999999,18.288965786204617,0.0147425673805399,0.2087657674964846,0.0225143789263878,248729934.6923828,1215277810.0,6.21824836730957
0289.HK,WING ON CO,Consumer Cyclical,Department Stores,2022,-1.033,64.07182265966847,-0.015120916940169,1.0708821170490646,0.46,-11.7553219790611,0.0010471480928474,0.1895255527358982,0.0378811348485107,3516368976.079834,19902629000.0,12.143247604370115
0293.HK,CATHAY PAC AIR,Industrials,Airlines,2022,-1.124,9.910144773411483,-0.0366085543407364,2.835242677365262,0.0,-7.03218950495601,0.4262025050576517,0.797584816800775,0.0,50888304066.33984,180914000000.0,7.904181003570557
0291.HK,CHINA RES BEER,Consumer Defensive,Beverages - Brewers,2022,1.34,8.335080147965474,0.075794322405039,2.116667282195221,0.625,39.08895521021601,0.0211470347041683,6.284186720684959,0.0119322173728977,169918124740.6006,57313000000.0,52.37919998168945
0294.HK,YANGTZEKIANG,Consumer Cyclical,Apparel Manufacturing,2022,0.15,5.65903418654594,0.0236372269559198,1.1088244896982378,0.02,8.87699047724406,0.0004123892522881,0.2352960819272476,0.0150201054822723,275295004.0783882,1297318000.0,1.3315485715866089
0297.HK,SINOFERT,Basic Materials,Agricultural Inputs,2022,0.159,1.352907170522888,0.0536555633897551,2.1395980700489927,0.0528,5.31653863079143,0.0873041254672804,0.6248245709046867,0.062460840550439,5937984069.767578,20821811000.0,0.8453296422958374
